time,x,y,theta,q1,q2,q3,q4
0.568,-0.0376033,0.213801,-1.37438,0.555718,2.34782,2.13445,0.811527
0.57,-0.0381704,0.210603,-1.39256,0.579165,2.35087,2.1593,0.804211
0.572,-0.0387397,0.207364,-1.41074,0.602427,2.35414,2.18394,0.797201
0.574,-0.0393238,0.204099,-1.42918,0.625933,2.35735,2.20882,0.790363
0.576,-0.0399225,0.200807,-1.44787,0.649732,2.36019,2.2339,0.783689
0.578,-0.0405232,0.197475,-1.46656,0.673317,2.36331,2.25876,0.777602
0.58,-0.041142,0.194119,-1.48554,0.697171,2.36639,2.28389,0.771535
0.582,-0.0416635,0.190818,-1.50604,0.721653,2.36916,2.30942,0.766578
0.584,-0.0421052,0.187557,-1.52784,0.746705,2.37162,2.33527,0.762582
0.586,-0.0424815,0.184323,-1.55074,0.772239,2.3738,2.36113,0.759987
0.588,-0.0428065,0.181103,-1.57458,0.798176,2.37571,2.38691,0.758343
0.59,-0.043091,0.177887,-1.5992,0.824414,2.37739,2.41253,0.757675
0.592,-0.0433444,0.174667,-1.62444,0.850851,2.37888,2.43794,0.758
0.594,-0.0435744,0.171436,-1.65021,0.87739,2.38021,2.46311,0.759322
0.596,-0.0437875,0.168188,-1.67637,0.903942,2.38142,2.48799,0.76164
0.598,-0.043998,0.16492,-1.7029,0.930525,2.38247,2.51333,0.763353
0.6,-0.0442192,0.161634,-1.72976,0.957162,2.38333,2.53909,0.764413
0.602,-0.0444634,0.158328,-1.75691,0.983875,2.38395,2.56525,0.764786
0.604,-0.0447368,0.155008,-1.78438,1.01068,2.38424,2.59178,0.764517
0.606,-0.0449496,0.152264,-1.807,1.03232,2.38537,2.61351,0.764394
0.608,-0.0451119,0.150023,-1.82545,1.04959,2.38712,2.63114,0.764408
0.61,-0.0452302,0.148219,-1.84032,1.06317,2.38934,2.64528,0.764516
0.612,-0.0453092,0.14679,-1.85212,1.07362,2.39192,2.65644,0.764675
0.614,-0.0453527,0.145684,-1.8613,1.08143,2.39477,2.66506,0.76486
