t,x,theta,u
0.541,-0.387319,1.73351,3.01943
0.542,-0.3878,1.74243,3.01824
0.543,-0.388282,1.75139,3.01702
0.544,-0.388766,1.76038,3.01577
0.545,-0.389252,1.7694,3.0145
0.546,-0.38974,1.77846,3.01321
0.547,-0.39023,1.78755,3.01189
0.548,-0.390721,1.79667,3.01055
0.549,-0.391215,1.80583,3.00918
0.55,-0.39171,1.81501,3.00779
0.551,-0.392208,1.82424,3.00637
0.552,-0.392707,1.83349,3.00493
0.553,-0.393209,1.84278,3.00346
0.554,-0.393713,1.8521,3.00197
0.555,-0.394218,1.86146,3.00046
0.556,-0.394726,1.87085,2.99892
0.557,-0.395237,1.88027,2.99736
0.558,-0.395749,1.88973,2.99578
0.559,-0.396264,1.89922,2.99417
0.56,-0.396781,1.90874,2.99254
0.561,-0.397301,1.9183,2.99089
0.562,-0.397823,1.92789,2.98921
0.563,-0.398347,1.93751,2.98752
0.564,-0.398874,1.94717,2.98579
0.565,-0.399403,1.95686,2.98405
0.566,-0.399935,1.96658,2.98229
0.567,-0.400469,1.97634,2.9805
0.568,-0.401006,1.98613,2.97869
0.569,-0.401545,1.99596,2.97685
0.57,-0.402087,2.00581,2.975
0.571,-0.402632,2.01571,2.97313
0.572,-0.403179,2.02563,2.97123
0.573,-0.403729,2.03559,2.96931
0.574,-0.404282,2.04558,2.96737
0.575,-0.404838,2.0556,2.96541
0.576,-0.405396,2.06566,2.96343
0.577,-0.405957,2.07575,2.96142
0.578,-0.406521,2.08587,2.9594
0.579,-0.407087,2.09603,2.95735
0.58,-0.407657,2.10622,2.95529
0.581,-0.408229,2.11644,2.9532
0.582,-0.408805,2.1267,2.9511
0.583,-0.409383,2.13699,2.94897
0.584,-0.409964,2.14731,2.94683
0.585,-0.410548,2.15766,2.94466
0.586,-0.411135,2.16805,2.94247
0.587,-0.411725,2.17847,2.94027
0.588,-0.412317,2.18892,2.93804
0.589,-0.412913,2.19941,2.9358
0.59,-0.413512,2.20992,2.93353
0.591,-0.414114,2.22047,2.93125
0.592,-0.414718,2.23105,2.92895
0.593,-0.415326,2.24166,2.92663
0.594,-0.415936,2.25231,2.92429
0.595,-0.41655,2.26298,2.92193
0.596,-0.417167,2.27369,2.91955
0.597,-0.417786,2.28443,2.91715
0.598,-0.418409,2.2952,2.91474
0.599,-0.419034,2.306,2.9123
0.6,-0.419662,2.31683,2.90985
0.601,-0.420294,2.32769,2.90738
0.602,-0.420928,2.33859,2.9049
0.603,-0.421565,2.34951,2.90239
0.604,-0.422205,2.36046,2.89987
0.605,-0.422848,2.37145,2.89733
0.606,-0.423494,2.38246,2.89477
0.607,-0.424142,2.3935,2.89219
0.608,-0.424794,2.40457,2.8896
0.609,-0.425448,2.41567,2.88699
0.61,-0.426105,2.4268,2.88437
0.611,-0.426765,2.43796,2.88172
0.612,-0.427427,2.44914,2.87906
0.613,-0.428092,2.46036,2.87638
0.614,-0.42876,2.4716,2.87369
