t,x,theta,u
0.396,-0.485658,-0.149186,3.8161
0.397,-0.486728,-0.149989,3.81907
0.398,-0.487794,-0.150786,3.82194
0.399,-0.488857,-0.151576,3.82472
0.4,-0.489916,-0.152359,3.82741
0.401,-0.490972,-0.153135,3.83001
0.402,-0.492025,-0.153905,3.83252
0.403,-0.493073,-0.154668,3.83494
0.404,-0.494118,-0.155425,3.83727
0.405,-0.49516,-0.156175,3.83951
0.406,-0.496198,-0.156919,3.84166
0.407,-0.497233,-0.157656,3.84373
0.408,-0.498264,-0.158387,3.84571
0.409,-0.499292,-0.159111,3.8476
0.41,-0.500316,-0.159829,3.84941
0.411,-0.501336,-0.16054,3.85114
0.412,-0.502353,-0.161245,3.85278
0.413,-0.503367,-0.161944,3.85434
0.414,-0.504377,-0.162636,3.85582
0.415,-0.505383,-0.163322,3.85722
0.416,-0.506386,-0.164002,3.85853
0.417,-0.507386,-0.164675,3.85977
0.418,-0.508381,-0.165343,3.86092
0.419,-0.509374,-0.166004,3.862
0.42,-0.510363,-0.166658,3.863
0.421,-0.511348,-0.167307,3.86392
0.422,-0.51233,-0.16795,3.86476
0.423,-0.513308,-0.168586,3.86553
0.424,-0.514283,-0.169216,3.86622
0.425,-0.515254,-0.16984,3.86683
0.426,-0.516221,-0.170459,3.86737
0.427,-0.517186,-0.171071,3.86784
0.428,-0.518146,-0.171677,3.86823
0.429,-0.519103,-0.172277,3.86855
0.43,-0.520057,-0.172871,3.86879
0.431,-0.521007,-0.17346,3.86897
0.432,-0.521953,-0.174042,3.86907
0.433,-0.522896,-0.174619,3.8691
0.434,-0.523836,-0.175189,3.86906
0.435,-0.524772,-0.175754,3.86895
0.436,-0.525704,-0.176313,3.86877
0.437,-0.526633,-0.176866,3.86853
0.438,-0.527559,-0.177414,3.86821
0.439,-0.528481,-0.177955,3.86783
0.44,-0.529399,-0.178491,3.86738
0.441,-0.530314,-0.179022,3.86686
0.442,-0.531225,-0.179546,3.86628
0.443,-0.532133,-0.180065,3.86563
0.444,-0.533038,-0.180578,3.86492
0.445,-0.533939,-0.181086,3.86414
0.446,-0.534836,-0.181588,3.86329
