t,x,theta,u
0.399,-0.56744,-0.209252,7.67156
0.4,-0.568879,-0.210382,7.67156
0.401,-0.570311,-0.211497,6.70646
0.402,-0.571736,-0.212599,6.70646
0.403,-0.573155,-0.213687,6.70646
0.404,-0.574568,-0.214761,6.70646
0.405,-0.575975,-0.215822,6.70646
0.406,-0.577376,-0.21687,6.70646
0.407,-0.57877,-0.217905,6.70646
0.408,-0.580158,-0.218926,6.70646
0.409,-0.58154,-0.219934,6.70646
0.41,-0.582915,-0.220929,6.70646
0.411,-0.584285,-0.22191,6.70646
0.412,-0.585648,-0.222879,6.70646
0.413,-0.587005,-0.223835,6.70646
0.414,-0.588355,-0.224777,6.70646
0.415,-0.589699,-0.225707,6.70646
0.416,-0.591038,-0.226623,6.70646
0.417,-0.592369,-0.227527,6.70646
0.418,-0.593695,-0.228418,6.70646
0.419,-0.595015,-0.229296,6.70646
0.42,-0.596328,-0.230162,6.70646
0.421,-0.597635,-0.231015,6.70646
0.422,-0.598936,-0.231855,6.70646
0.423,-0.60023,-0.232682,6.70646
0.424,-0.601519,-0.233497,6.70646
0.425,-0.602801,-0.234299,6.70646
0.426,-0.604077,-0.235089,6.70646
0.427,-0.605347,-0.235866,6.70646
0.428,-0.60661,-0.236631,6.70646
0.429,-0.607868,-0.237383,6.70646
0.43,-0.609119,-0.238123,6.70646
0.431,-0.610364,-0.238851,6.70646
0.432,-0.611603,-0.239566,6.70646
0.433,-0.612835,-0.240269,6.70646
0.434,-0.614062,-0.24096,6.70646
0.435,-0.615282,-0.241638,6.70646
0.436,-0.616496,-0.242305,6.70646
0.437,-0.617704,-0.242959,6.70646
0.438,-0.618905,-0.243601,6.70646
0.439,-0.620101,-0.244231,6.70646
0.44,-0.62129,-0.244849,6.70646
0.441,-0.622473,-0.245454,6.70646
0.442,-0.62365,-0.246048,6.70646
0.443,-0.624821,-0.24663,6.70646
0.444,-0.625986,-0.2472,6.70646
0.445,-0.627144,-0.247757,6.70646
0.446,-0.628296,-0.248303,6.70646
0.447,-0.629442,-0.248837,6.70646
0.448,-0.630582,-0.24936,6.70646
0.449,-0.631716,-0.24987,6.70646
0.45,-0.632844,-0.250368,6.70646
0.451,-0.633965,-0.250856,5.90643
0.452,-0.635082,-0.251335,5.90643
0.453,-0.636193,-0.251804,5.90643
0.454,-0.637299,-0.252265,5.90643
0.455,-0.638399,-0.252716,5.90643
0.456,-0.639494,-0.253158,5.90643
0.457,-0.640584,-0.253591,5.90643
0.458,-0.641668,-0.254015,5.90643
0.459,-0.642747,-0.254429,5.90643
0.46,-0.64382,-0.254835,5.90643
0.461,-0.644888,-0.255231,5.90643
0.462,-0.645951,-0.255619,5.90643
0.463,-0.647009,-0.255998,5.90643
0.464,-0.648061,-0.256367,5.90643
0.465,-0.649107,-0.256728,5.90643
0.466,-0.650149,-0.257079,5.90643
0.467,-0.651185,-0.257422,5.90643
0.468,-0.652215,-0.257755,5.90643
0.469,-0.653241,-0.25808,5.90643
0.47,-0.654261,-0.258396,5.90643
0.471,-0.655275,-0.258703,5.90643
0.472,-0.656284,-0.259001,5.90643
0.473,-0.657288,-0.25929,5.90643
0.474,-0.658287,-0.25957,5.90643
0.475,-0.65928,-0.259842,5.90643
0.476,-0.660268,-0.260104,5.90643
0.477,-0.66125,-0.260358,5.90643
0.478,-0.662227,-0.260603,5.90643
0.479,-0.663199,-0.260839,5.90643
0.48,-0.664166,-0.261067,5.90643
0.481,-0.665127,-0.261286,5.90643
0.482,-0.666083,-0.261495,5.90643
0.483,-0.667033,-0.261697,5.90643
0.484,-0.667978,-0.261889,5.90643
0.485,-0.668918,-0.262073,5.90643
0.486,-0.669852,-0.262247,5.90643
0.487,-0.670781,-0.262414,5.90643
0.488,-0.671705,-0.262571,5.90643
0.489,-0.672623,-0.26272,5.90643
0.49,-0.673536,-0.26286,5.90643
0.491,-0.674444,-0.262991,5.90643
0.492,-0.675346,-0.263114,5.90643
0.493,-0.676243,-0.263228,5.90643
0.494,-0.677135,-0.263333,5.90643
0.495,-0.678021,-0.26343,5.90643
0.496,-0.678902,-0.263517,5.90643
0.497,-0.679777,-0.263597,5.90643
0.498,-0.680648,-0.263667,5.90643
0.499,-0.681513,-0.263729,5.90643
0.5,-0.682372,-0.263782,5.90643
0.501,-0.683226,-0.263827,5.90643
